term_srcdb,subject,course_number,code,crn,section,title,enrolled,campus_code,schedule_type,status_code,is_cancelled,meets,instructor,start_date,end_date,meetingTimes,timestamp
202602,SUS,102,SUS 102,37716,1,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,HYB,A,False,M 10-10:50a,L. Reynolds,2026-01-05,2026-03-13,"[{'meet_day': '0', 'start_time': '1000', 'end_time': '1050'}]",2025-11-20T11:34:50
202602,SUS,102,SUS 102,36727,2,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,HYB,A,False,M 11-11:50a,L. Reynolds,2026-01-05,2026-03-13,"[{'meet_day': '0', 'start_time': '1100', 'end_time': '1150'}]",2025-11-20T11:34:50
202602,SUS,102,SUS 102,37717,3,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,HYB,A,False,W 10-10:50a,L. Reynolds,2026-01-05,2026-03-13,"[{'meet_day': '2', 'start_time': '1000', 'end_time': '1050'}]",2025-11-20T11:34:50
202602,SUS,102,SUS 102,36976,4,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,HYB,A,False,W 11-11:50a,L. Reynolds,2026-01-05,2026-03-13,"[{'meet_day': '2', 'start_time': '1100', 'end_time': '1150'}]",2025-11-20T11:34:50
202602,SUS,102,SUS 102,35586,10,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,D,A,False,T 9-11:50a,A. Leytem,2026-01-05,2026-03-13,"[{'meet_day': '1', 'start_time': '900', 'end_time': '1150'}]",2025-11-20T11:34:50
202602,SUS,102,SUS 102,35587,11,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,D,A,False,T 9-11:50a,A. Leytem,2026-01-05,2026-03-13,"[{'meet_day': '1', 'start_time': '900', 'end_time': '1150'}]",2025-11-20T11:34:50
202602,SUS,102,SUS 102,35588,12,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,D,A,False,W 1-3:50p,A. Leytem,2026-01-05,2026-03-13,"[{'meet_day': '2', 'start_time': '1300', 'end_time': '1550'}]",2025-11-20T11:34:50
202602,SUS,102,SUS 102,35589,13,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,D,A,False,W 1-3:50p,A. Leytem,2026-01-05,2026-03-13,"[{'meet_day': '2', 'start_time': '1300', 'end_time': '1550'}]",2025-11-20T11:34:50
202602,SUS,102,SUS 102,38091,14,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,D,A,False,W 4-6:50p; S 10a-12:50p,A. Leytem,2026-01-05,2026-02-21,"[{'meet_day': '2', 'start_time': '1600', 'end_time': '1850'}, {'meet_day': '5', 'start_time': '1000', 'end_time': '1250'}]",2025-11-20T11:34:50
202602,SUS,102,SUS 102,36730,15,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,D,A,False,W 4-6:50p; S 10a-12:50p,A. Leytem,2026-01-05,2026-02-21,"[{'meet_day': '2', 'start_time': '1600', 'end_time': '1850'}, {'meet_day': '5', 'start_time': '1000', 'end_time': '1250'}]",2025-11-20T11:34:50
202602,SUS,102,SUS 102,38036,16,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,D,A,False,R 9a-12p,A. Leytem,2026-01-05,2026-03-13,"[{'meet_day': '3', 'start_time': '900', 'end_time': '1200'}]",2025-11-20T11:34:50
202602,SUS,102,SUS 102,37733,17,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,D,A,False,R 9a-12p,A. Leytem,2026-01-05,2026-03-13,"[{'meet_day': '3', 'start_time': '900', 'end_time': '1200'}]",2025-11-20T11:34:50
202602,SUS,102,SUS 102,37727,18,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,D,A,False,F 1-3:50p,A. Leytem,2026-01-05,2026-03-13,"[{'meet_day': '4', 'start_time': '1300', 'end_time': '1550'}]",2025-11-20T11:34:50
202602,SUS,102,SUS 102,42216,19,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,D,A,False,F 1-3:50p,A. Leytem,2026-01-05,2026-03-13,"[{'meet_day': '4', 'start_time': '1300', 'end_time': '1550'}]",2025-11-20T11:34:50
202602,SUS,102,SUS 102,35585,400,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,DI,Y,A,False,,L. Reynolds,2026-01-05,2026-03-13,[],2025-11-20T11:34:50
